subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
021616_03,no-gaze,15_test,0.4727272727272727,0,0.5666666666666667,face,left,TRUE,face_target
021616_03,no-gaze,16_exposure,0.2782608695652174,0,0.3,face,left,FALSE,face_distracter
021616_03,no-gaze,16_test,0.33613445378151263,0,0.5666666666666667,face,left,TRUE,face_target
021616_03,no-gaze,2_exposure,0.3050847457627119,0,1.1333333333333333,face,left,TRUE,face_target
021616_03,no-gaze,2_test,0.34513274336283184,0,1,face,right,FALSE,face_distracter
021616_03,no-gaze,3_exposure,0.2702702702702703,0,0.7666666666666667,face,right,TRUE,face_target
021616_03,no-gaze,3_test,0.6890756302521008,0,0.5333333333333333,face,right,TRUE,face_target
021616_03,no-gaze,4_exposure,0.5555555555555556,0,0.4666666666666667,face,left,FALSE,face_distracter
021616_03,no-gaze,4_test,0.4827586206896552,0,0.5,face,right,TRUE,face_target
021616_03,no-gaze,5_exposure,0.46788990825688076,0,0.5333333333333333,face,left,TRUE,face_target
021616_03,no-gaze,5_test,0.44339622641509435,0,0.5333333333333333,face,right,TRUE,face_target
021616_03,no-gaze,6_exposure,0.36885245901639346,0,0.3,face,left,FALSE,face_distracter
021616_03,no-gaze,6_test,0.3448275862068966,0,0.5666666666666667,right,left,FALSE,target_distracter
021616_03,no-gaze,7_exposure,0.15315315315315314,0,0.16666666666666666,left,face,FALSE,image_away
021616_03,no-gaze,7_test,0.7583333333333333,0,0.5,face,left,FALSE,face_distracter
021616_03,no-gaze,8_exposure,0.45132743362831856,0,0.8666666666666667,face,left,FALSE,face_distracter
021616_03,no-gaze,8_test,0.3247863247863248,0,0.6,face,left,TRUE,face_target
021616_04,gaze,1_exposure,0.1792452830188679,0.5377358490566038,0.7333333333333333,face,right,FALSE,face_distracter
021616_04,gaze,1_test,0.31683168316831684,0,0.36666666666666664,left,right,FALSE,image_away
021616_04,gaze,10_exposure,0.6608695652173913,0.6608695652173913,0.23333333333333334,left,right,TRUE,image_away
021616_04,gaze,10_test,0.31896551724137934,0,0.3,left,right,FALSE,image_away
021616_04,gaze,12_exposure,0.2079207920792079,0.7326732673267327,0.4,right,left,TRUE,distracter_target
021616_04,gaze,12_test,0.4,0,1.0333333333333334,left,right,TRUE,image_away
021616_04,gaze,13_exposure,0.3404255319148936,0.3617021276595745,0.36666666666666664,face,left,TRUE,face_target
021616_04,gaze,13_test,0.2743362831858407,0,0.4,left,right,FALSE,image_away
021616_04,gaze,15_exposure,0.6328125,0.6328125,0.3333333333333333,left,right,FALSE,image_away
021616_04,gaze,15_test,0.4155844155844156,0,0.2,left,right,FALSE,image_away
021616_04,gaze,16_exposure,0.4482758620689655,0.1896551724137931,0.3333333333333333,left,right,FALSE,image_away
021616_04,gaze,16_test,0.638095238095238,0,0.8666666666666667,left,right,FALSE,image_away
021616_04,gaze,2_exposure,0.2545454545454545,0.7454545454545455,0.3,right,left,FALSE,target_distracter
021616_04,gaze,2_test,0.6391752577319587,0,0.3333333333333333,left,right,TRUE,image_away
021616_04,gaze,3_exposure,0.8,0.8,0.23333333333333334,right,left,TRUE,distracter_target
021616_04,gaze,3_test,0.6869565217391305,0,0.3,left,right,TRUE,image_away
021616_04,gaze,5_exposure,0.30303030303030304,0.696969696969697,0.2,right,left,FALSE,target_distracter
021616_04,gaze,5_test,0.41818181818181815,0,0.3,left,right,FALSE,image_away
021616_04,gaze,7_exposure,0.33663366336633666,0.44554455445544555,0.26666666666666666,left,right,FALSE,image_away
021616_04,gaze,7_test,0.2967032967032967,0,0.3333333333333333,face,left,FALSE,face_distracter
021616_04,gaze,8_exposure,0.5185185185185185,0.5185185185185185,0.2,right,face,FALSE,image_face
021616_04,gaze,8_test,0.6491228070175439,0,0.3333333333333333,left,right,TRUE,image_away
021616_04,gaze,9_exposure,0.6818181818181818,0.6818181818181818,0.4666666666666667,left,right,TRUE,image_away
021616_04,gaze,9_test,0.7435897435897436,0,0.7333333333333333,left,right,FALSE,image_away
021716_01,gaze,1_exposure,0.14545454545454545,0.19090909090909092,0.6666666666666666,face,right,FALSE,face_distracter
021716_01,gaze,1_test,0.22321428571428573,0,0.8,face,right,FALSE,face_distracter
021716_01,gaze,10_exposure,0.7289719626168224,0.7289719626168224,0.5333333333333333,face,right,TRUE,face_target
021716_01,gaze,10_test,0.5188679245283019,0,0.3,face,left,TRUE,face_target
021716_01,gaze,12_exposure,0.11864406779661017,0.8813559322033898,0.6333333333333333,left,right,FALSE,image_away
021716_01,gaze,12_test,0.2777777777777778,0,0.9,right,left,FALSE,target_distracter
021716_01,gaze,13_exposure,0.27472527472527475,0.6373626373626373,0.4666666666666667,right,face,FALSE,image_face
021716_01,gaze,13_test,0.6435643564356436,0,0.5,face,left,TRUE,face_target
